CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,geoid
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Baltimore,24,4000,2404000
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Columbia,24,19125,2419125
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Towson,24,78425,2478425
12620,"Bangor, ME",Metropolitan Statistical Area,Bangor,23,2795,2302795
12660,"Baraboo, WI",Micropolitan Statistical Area,Baraboo,55,4625,5504625
12680,"Bardstown, KY",Micropolitan Statistical Area,Bardstown,21,3628,2103628
12700,"Barnstable Town, MA",Metropolitan Statistical Area,Barnstable Town,25,3690,2503690
12740,"Barre, VT",Micropolitan Statistical Area,Barre,50,3175,5003175
12780,"Bartlesville, OK",Micropolitan Statistical Area,Bartlesville,40,4450,4004450
12860,"Batavia, NY",Micropolitan Statistical Area,Batavia,36,4715,3604715
12900,"Batesville, AR",Micropolitan Statistical Area,Batesville,5,4030,504030
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Baton Rouge,22,5000,2205000
12980,"Battle Creek, MI",Metropolitan Statistical Area,Battle Creek,26,5920,2605920
13020,"Bay City, MI",Metropolitan Statistical Area,Bay City,26,6020,2606020
13060,"Bay City, TX",Micropolitan Statistical Area,Bay City,48,5984,4805984
13100,"Beatrice, NE",Micropolitan Statistical Area,Beatrice,31,3390,3103390
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Beaumont,48,7000,4807000
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Port Arthur,48,58820,4858820
13180,"Beaver Dam, WI",Micropolitan Statistical Area,Beaver Dam,55,5900,5505900
13220,"Beckley, WV",Metropolitan Statistical Area,Beckley,54,5332,5405332
13260,"Bedford, IN",Micropolitan Statistical Area,Bedford,18,4114,1804114
13300,"Beeville, TX",Micropolitan Statistical Area,Beeville,48,7192,4807192
13340,"Bellefontaine, OH",Micropolitan Statistical Area,Bellefontaine,39,5130,3905130
13380,"Bellingham, WA",Metropolitan Statistical Area,Bellingham,53,5280,5305280
13420,"Bemidji, MN",Micropolitan Statistical Area,Bemidji,27,5068,2705068
13460,"Bend, OR",Metropolitan Statistical Area,Bend,41,5800,4105800
13500,"Bennettsville, SC",Micropolitan Statistical Area,Bennettsville,45,5680,4505680
13540,"Bennington, VT",Micropolitan Statistical Area,Bennington,50,4750,5004750
13620,"Berlin, NH",Micropolitan Statistical Area,Berlin,33,5140,3305140
13660,"Big Rapids, MI",Micropolitan Statistical Area,Big Rapids,26,8300,2608300
13700,"Big Spring, TX",Micropolitan Statistical Area,Big Spring,48,8236,4808236
13720,"Big Stone Gap, VA",Micropolitan Statistical Area,Big Stone Gap,51,7480,5107480
13740,"Billings, MT",Metropolitan Statistical Area,Billings,30,6550,3006550
13780,"Binghamton, NY",Metropolitan Statistical Area,Binghamton,36,6607,3606607
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Birmingham,1,7000,107000
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Hoover,1,35896,135896
13900,"Bismarck, ND",Metropolitan Statistical Area,Bismarck,38,7200,3807200
13940,"Blackfoot, ID",Micropolitan Statistical Area,Blackfoot,16,7840,1607840
13980,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area,Blacksburg,51,7784,5107784
13980,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area,Christiansburg,51,16608,5116608
14010,"Bloomington, IL",Metropolitan Statistical Area,Bloomington,17,6613,1706613
14020,"Bloomington, IN",Metropolitan Statistical Area,Bloomington,18,5860,1805860
14100,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,Berwick,42,5888,4205888
14100,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,Bloomsburg,42,7128,4207128
14140,"Bluefield, WV-VA",Micropolitan Statistical Area,Bluefield,54,8524,5408524
14180,"Blytheville, AR",Micropolitan Statistical Area,Blytheville,5,7330,507330
14220,"Bogalusa, LA",Micropolitan Statistical Area,Bogalusa,22,8150,2208150
14260,"Boise City, ID",Metropolitan Statistical Area,Boise City,16,8830,1608830
14300,"Bonham, TX",Micropolitan Statistical Area,Bonham,48,9328,4809328
14380,"Boone, NC",Micropolitan Statistical Area,Boone,37,7080,3707080
14420,"Borger, TX",Micropolitan Statistical Area,Borger,48,9556,4809556
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Boston,25,7000,2507000
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Cambridge,25,11000,2511000
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Framingham,25,24960,2524960
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Newton,25,45560,2545560
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Waltham,25,72600,2572600
14500,"Boulder, CO",Metropolitan Statistical Area,Boulder,8,7850,807850
14540,"Bowling Green, KY",Metropolitan Statistical Area,Bowling Green,21,8902,2108902
14580,"Bozeman, MT",Micropolitan Statistical Area,Bozeman,30,8950,3008950
14620,"Bradford, PA",Micropolitan Statistical Area,Bradford,42,8040,4208040
14660,"Brainerd, MN",Micropolitan Statistical Area,Brainerd,27,7300,2707300
14700,"Branson, MO",Micropolitan Statistical Area,Branson,29,7966,2907966
14720,"Breckenridge, CO",Micropolitan Statistical Area,Breckenridge,8,8400,808400
14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Bremerton,53,7695,5307695
14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Port Orchard,53,55785,5355785
14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Silverdale,53,64365,5364365
14780,"Brenham, TX",Micropolitan Statistical Area,Brenham,48,10156,4810156
14820,"Brevard, NC",Micropolitan Statistical Area,Brevard,37,7720,3707720
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Bridgeport,9,8000,908000
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Danbury,9,18430,918430
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Norwalk,9,55990,955990
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Stamford,9,73000,973000
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Stratford,9,74260,974260
15020,"Brookhaven, MS",Micropolitan Statistical Area,Brookhaven,28,8820,2808820
15060,"Brookings, OR",Micropolitan Statistical Area,Brookings,41,8650,4108650
15100,"Brookings, SD",Micropolitan Statistical Area,Brookings,46,7580,4607580
15140,"Brownsville, TN",Micropolitan Statistical Area,Brownsville,47,8920,4708920
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Brownsville,48,10768,4810768
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Harlingen,48,32372,4832372
15220,"Brownwood, TX",Micropolitan Statistical Area,Brownwood,48,10780,4810780
15260,"Brunswick, GA",Metropolitan Statistical Area,Brunswick,13,11560,1311560
15340,"Bucyrus-Galion, OH",Micropolitan Statistical Area,Bucyrus,39,10030,3910030
15340,"Bucyrus-Galion, OH",Micropolitan Statistical Area,Galion,39,29162,3929162
15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,Buffalo,36,11000,3611000
15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,Cheektowaga,36,15000,3615000
15420,"Burley, ID",Micropolitan Statistical Area,Burley,16,11260,1611260
15460,"Burlington, IA-IL",Micropolitan Statistical Area,Burlington,19,9550,1909550
15500,"Burlington, NC",Metropolitan Statistical Area,Burlington,37,9060,3709060
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Burlington,50,10675,5010675
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,South Burlington,50,66175,5066175
